loan_type,income_band_monthly_inr,employment_type,cibil_score_range,existing_emi_monthly_inr,foir_pct,eligibility_status,indicative_max_loan_inr,indicative_tenure_months,rate_category,additional_docs_required,decline_reason,notes
Home Loan,"INR 15,000–25,000",Self-Employed Professional,700–749 (Good),5000,25.0% (existing only),ELIGIBLE,300000,240,Moderate rate (CIBIL 700-749),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,700–749 (Good),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,650–699 (Fair),0,0.0% (existing only),ELIGIBLE,600000,240,High rate (CIBIL 650-699),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,650–699 (Fair),5000,25.0% (existing only),ELIGIBLE,300000,240,High rate (CIBIL 650-699),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,650–699 (Fair),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,Below 650 (Poor),0,0.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,Below 650 (Poor),5000,25.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Professional,Below 650 (Poor),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,800–900 (Excellent),0,0.0% (existing only),ELIGIBLE,540000,240,Best rate (CIBIL 800+),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,800–900 (Excellent),5000,25.0% (existing only),ELIGIBLE,270000,240,Best rate (CIBIL 800+),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,800–900 (Excellent),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,750–799 (Very Good),0,0.0% (existing only),ELIGIBLE,540000,240,Standard rate (CIBIL 750-799),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,750–799 (Very Good),5000,25.0% (existing only),ELIGIBLE,270000,240,Standard rate (CIBIL 750-799),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,750–799 (Very Good),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,700–749 (Good),0,0.0% (existing only),ELIGIBLE,540000,240,Moderate rate (CIBIL 700-749),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,700–749 (Good),5000,25.0% (existing only),ELIGIBLE,270000,240,Moderate rate (CIBIL 700-749),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,700–749 (Good),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,650–699 (Fair),0,0.0% (existing only),ELIGIBLE,540000,240,High rate (CIBIL 650-699),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,650–699 (Fair),5000,25.0% (existing only),ELIGIBLE,270000,240,High rate (CIBIL 650-699),Last 2-year ITR; CA-certified P&L; 12-month bank statement,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,650–699 (Fair),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,FOIR already at 50.0%; no EMI capacity,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,Below 650 (Poor),0,0.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,Below 650 (Poor),5000,25.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 15,000–25,000",Self-Employed Business Owner,Below 650 (Poor),10000,50.0% (existing only),DECLINE,0,0,N/A,Last 2-year ITR; CA-certified P&L; 12-month bank statement,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,800–900 (Excellent),0,0.0% (existing only),ELIGIBLE,1150000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,800–900 (Excellent),5000,15.6% (existing only),ELIGIBLE,790000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,800–900 (Excellent),10000,31.2% (existing only),ELIGIBLE,430000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,750–799 (Very Good),0,0.0% (existing only),ELIGIBLE,1150000,240,Standard rate (CIBIL 750-799),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,750–799 (Very Good),5000,15.6% (existing only),ELIGIBLE,790000,240,Standard rate (CIBIL 750-799),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,750–799 (Very Good),10000,31.2% (existing only),ELIGIBLE,430000,240,Standard rate (CIBIL 750-799),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,700–749 (Good),0,0.0% (existing only),ELIGIBLE,1150000,240,Moderate rate (CIBIL 700-749),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,700–749 (Good),5000,15.6% (existing only),ELIGIBLE,790000,240,Moderate rate (CIBIL 700-749),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,700–749 (Good),10000,31.2% (existing only),ELIGIBLE,430000,240,Moderate rate (CIBIL 700-749),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,650–699 (Fair),0,0.0% (existing only),ELIGIBLE,1150000,240,High rate (CIBIL 650-699),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,650–699 (Fair),5000,15.6% (existing only),ELIGIBLE,790000,240,High rate (CIBIL 650-699),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,650–699 (Fair),10000,31.2% (existing only),ELIGIBLE,430000,240,High rate (CIBIL 650-699),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,Below 650 (Poor),0,0.0% (existing only),DECLINE,0,0,N/A,Property documents; NOC from builder/seller; valuation report,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,Below 650 (Poor),5000,15.6% (existing only),DECLINE,0,0,N/A,Property documents; NOC from builder/seller; valuation report,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – Government/PSU,Below 650 (Poor),10000,31.2% (existing only),DECLINE,0,0,N/A,Property documents; NOC from builder/seller; valuation report,CIBIL 600 below minimum 650 for Home Loan,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – MNC (Cat A),800–900 (Excellent),0,0.0% (existing only),ELIGIBLE,1150000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – MNC (Cat A),800–900 (Excellent),5000,15.6% (existing only),ELIGIBLE,790000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – MNC (Cat A),800–900 (Excellent),10000,31.2% (existing only),ELIGIBLE,430000,240,Best rate (CIBIL 800+),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
Home Loan,"INR 25,001–40,000",Salaried – MNC (Cat A),750–799 (Very Good),0,0.0% (existing only),ELIGIBLE,1150000,240,Standard rate (CIBIL 750-799),Property documents; NOC from builder/seller; valuation report,,Indicative assessment only; subject to full credit appraisal
